name,item_num
john,8690000000
mark,7370000000
david,7140000000
michael,7040000000
paul,6320000000
james,6150000000
thomas,5020000000
robert,4020000000
jose,3630000000
peter,3600000000
daniel,3360000000
george,3200000000
jack,3010000000
charles,2750000000
richard,2400000000
william,2150000000
scott,2000000000
joe,1960000000
joseph,1930000000
juan,1900000000
frank,1760000000
kevin,1700000000
eric,1620000000
andrew,1570000000
patrick,1530000000
ryan,1470000000
brian,1440000000
henry,1360000000
anthony,1340000000
albert,1310000000
donald,1280000000
jason,1260000000
stephen,1240000000
christopher,1130000000
justin,1120000000
edward,1040000000
steven,980000000
jonathan,973000000
arthur,964000000
matthew,947000000
roger,928000000
walter,926000000
gary,889000000
lawrence,828000000
douglas,798000000
ralph,733000000
carl,716000000
samuel,695000000
jerry,684000000
dennis,613000000
terry,600000000
keith,521000000
larry,489000000
jeffrey,480000000
kenneth,479000000
raymond,447000000
nicholas,438000000
joshua,404000000
ronald,387000000
gregory,357000000
timothy,305000000
harold,248000000
gerald,202000000
willie,158000000
